"College","CRN","Course","Title","Meeting Days","Begin Time","End Time","Campus","Credits","Pre-req?","","","","","","","","","",""
"School of Nursing","2305","PH1000","Intro to Personal Health","T","10:30 AM","1:30 PM","Downtown","3","","","","","","","","","","",""
"School of Nursing","7950","PH1200","Intro to Public Health","F","7:00 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"School of Nursing","4600","PH2010","Drugs and Society","W","10:30 AM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","2957","PH3015","Culture and Health","T","10:30 AM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","4599","PH3020","Epidemiology","T","5:30 PM","8:10 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","4601","PH3025","Sexuality in Health & Society","T","2:00 PM","5:00 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","4099","PH3065","Environmental Health","M","10:30 AM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","2702","PH4010","Health Policy Analysis","R","10:30 AM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"School of Nursing","2415","PH4030","Pre-Practicum","W","2:00 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"School of Nursing","4100","PH4040","Public Health Rsrch Methods","M","2:00 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2903","PHIL1001","Philosophies of Hawai'i & Pac.","W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","3217","PHIL2500","Ethics in America","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4365","PHIL3301","Yoga Philosophy","M, W","12:15 PM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"College of Natural & Computational Sciences","1435","PHYS2030","College Physics I","T, R","2:00 PM","3:15 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1436","PHYS2031","College Physics I Lab","F","9:00 AM","11:40 AM","Downtown","1","M","","","","","","","","","",""
"College of Natural & Computational Sciences","2697","PHYS2031","College Physics I Lab","F","12:00 PM","2:40 PM","Downtown","1","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1035","PHYS2050","General Physics I","T, R","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1036","PHYS2051","General Physics I Lab","W","1:45 PM","4:25 PM","Downtown","1","M","","","","","","","","","",""
"College of Liberal Arts","1193","PSCI1400","American Politics","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5168","PSCI1400","American Politics","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","3685","PSCI2100","Fund. of Soc. Science Research","M, W","12:15 PM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","7842","PSCI3401","Issues in American Politics","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1679","PSCI3412","American Foreign Policy","T, R","12:15 PM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","2001","PSCI3500","Comparative Politics","T, R","10:30 AM","11:45 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","1443","PSY2100","Statistics in Psychology","M, W","2:00 PM","4:45 PM","Downtown","4","M","","","","","","","","","",""
"College of Liberal Arts","1430","PSY2200","Research Methods in Psychology","M, W","9:00 AM","11:45 AM","Downtown","4","W","","","","","","","","","",""
"College of Liberal Arts","1942","PSY3140","Psychology of Substance Abuse","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6913","PSY3160","Psychology of Music","F","9:30 AM","11:30 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1432","PSY3200","Biopsychology","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1039","PSY3235","Cross-Cultural Psychology","T, R","2:00 PM","3:15 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","2060","PSY3310","Forensic Psychology","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4319","PSY3350","Clinical Psychology","M, W","3:45 PM","5:00 PM","Downtown","3","M","","","","","","","","","",""
"College of Liberal Arts","1365","PSY3400","Life Span Development Psych","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1297","PSY3500","Test and Measurements in Psych","F","12:00 PM","2:40 PM","Downtown","3","M","","","","","","","","","",""
"College of Liberal Arts","1220","PSY3600","Abnormal Psychology","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1413","REL1000","Intro to World Religions","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2970","SOC1000","Introduction to Sociology","M","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1052","SPAN1100","Beginning Spanish I","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5451","SPAN1200","Beginning Spanish II","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7422","SPAN2100","Intermediate Spanish I","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5887","SWRK1010","Social Sustain Social Work","M","2:00 PM","4:40 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4874","SWRK1010","Social Sustain Social Work","W","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1055","SWRK3000","Generalist SWRK Practice","T","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1209","SWRK3003","Hum Behav in the Soc Environ I","R","5:30 PM","8:10 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","1670","SWRK3300","Writing & Research in Soc Work","R","5:30 PM","8:10 PM","Downtown","3","M & W","","","","","","","","","",""
"College of Liberal Arts","7888","SWRK3700","Special Topics: Social World","M","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1060","SWRK4000","SWRK Prac w/ Families & Grp","T","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2131","SWRK4010","SWRK Prac w/ Org & Communities","Sa","9:00 AM","11:40 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1750","THEA2320","Acting I: Basic for Stg & Scr","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1954","THEA2320","Acting I: Basic for Stg & Scr","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7418","THEA3520","Acting II: Advanced Acting","T","2:00 PM","4:40 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7419","THEA3620","Directing","T","2:00 PM","4:40 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6923","WRI1051","Intro to Academic Writing Lab","M","8:45 AM","10:00 AM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","3942","WRI1100","Writing & Analyzing Arguments","M, W","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7947","WRI1101","Writing & Analyzing Argumt Lab","W","8:45 AM","10:00 AM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","1051","WRI1200","Rsch, Argmt, and Writing","M, W","8:45 AM","10:00 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","1050","WRI1200","Rsch, Argmt, and Writing","T, R","8:45 AM","10:00 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","5628","WRI1200","Rsch, Argmt, and Writing","T, R","2:00 PM","3:15 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","6936","WRI1201","Research, Argument&Writing Lab","M","8:45 AM","10:00 AM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","7795","WRI3330","Fiction Writing Workshop","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4346","WRI3391","Literary Magazine","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
