"College","CRN","Course","Title","Meeting Days","Begin Time","End Time","Campus","Credits","Pre-req?","","","","","","","","","",""
"College of Natural & Computational Sciences","7852","BIOL4210","Neuroscience","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5848","BUS1000","Introduction to Business","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5849","BUS1000","Introduction to Business","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5853","BUS2500","Mathematics for Business","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","7787","BUS3995","Business Practices","F","10:00 AM","12:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6321","CHEM2050","General Chemistry I","M, W","12:15 PM","1:30 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","6325","CHEM2051","General Chemistry I Lab","F","7:30 AM","10:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6330","CHEM3010","Fundamental Organic Chemistry","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6896","CHEM3020","Physical Chemistry I","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6329","CHEM3030","Organic Chemistry I","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6331","CHEM3031","Organic Chemistry I Lab","M","8:30 AM","12:00 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6332","CHEM3031","Organic Chemistry I Lab","M","12:30 PM","4:00 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6338","CHEM4030","Biochemistry I","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6339","CHEM4031","Biochemistry I Lab","F","12:00 PM","4:00 PM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","6165","CHIN1100","Beginning Mandarin I","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6166","CHIN2100","Intermediate Mandarin I","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","6349","CJ1000","Violence in American Society","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","6350","CJ1050","Intro to Criminal Justice","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","6351","CJ1500","Intro to Cybersecurity","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","6352","CJ2050","Basic Criminology","M, W","12:15 PM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"College of Professional Studies","6353","CJ3000","Ethics & Justice","M, W","2:00 PM","3:15 PM","Downtown","3","W","","","","","","","","","",""
"College of Professional Studies","6355","CJ3500","Criminal Law","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","6356","CJ3550","Crime Scene Investigation:","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6170","COM2000","Public Speaking","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6171","COM2000","Public Speaking","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6173","COM2640","Argumentation and Debate","M, W","12:15 PM","1:30 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","6174","COM3300","Intercultural Communication","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6176","COM3420","Business Communication","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6177","COM3500","Technical Communication","F","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","4030","CSCI1041","Digit Literacy Global Society","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7411","CSCI1061","Mobile Tech for 21st Cent","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","4336","CSCI1611","Gentle Intro to Programming","M, W","8:45 AM","10:00 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","7833","CSCI1611","Gentle Intro to Programming","M, W","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","6953","CSCI1911","Foundations of Programming","M, W","2:00 PM","3:15 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","2886","CSCI2301","Discrete Math for Comp. Sci.","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1394","CSCI2912","Computer Science II","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7924","CSCI3050","Current Topics in AI","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","5476","CSCI3101","Algorithms","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7943","CSCI3131","Audio Processing with Python","R","3:45 PM","6:20 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1493","CSCI3106","Programming Challenges","T","3:45 PM","6:20 PM","Downtown","3","","","","","","","","","","",""
